station id, station name, valid,oblačnost [%]
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-14,27
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-15,80
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-16,100
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-17,97
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-18,97
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-19,97
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-20,87
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-21,83
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-22,97
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-23,100
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-24,100
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-25,87
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-26,93
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-27,90
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-28,83
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-29,100
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-30,13
_3049,Letališče Jožeta Pučnika Ljubljana,2023-01-31,10
_3049,Letališče Jožeta Pučnika Ljubljana,2023-02-01,20
_3049,Letališče Jožeta Pučnika Ljubljana,2023-02-02,50
_3049,Letališče Jožeta Pučnika Ljubljana,2023-02-03,80
_3049,Letališče Jožeta Pučnika Ljubljana,2023-02-04,30
_3049,Letališče Jožeta Pučnika Ljubljana,2023-02-05,50
_3049,Letališče Jožeta Pučnika Ljubljana,2023-02-06,60
_3049,Letališče Jožeta Pučnika Ljubljana,2023-02-07,3
_3049,Letališče Jožeta Pučnika Ljubljana,2023-02-08,97
_3049,Letališče Jožeta Pučnika Ljubljana,2023-02-09,27
_3049,Letališče Jožeta Pučnika Ljubljana,2023-02-10,3
_3049,Letališče Jožeta Pučnika Ljubljana,2023-02-11,43
_3049,Letališče Jožeta Pučnika Ljubljana,2023-02-12,47
