station id, station name, valid,T [°C],količina padavin [mm],globalno sev. [W/m2]
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 21:20,18.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 21:30,18,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 21:40,18.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 21:50,17.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 22:00,17.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 22:10,17.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 22:20,17.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 22:30,17.3,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 22:40,17.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 22:50,17,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 23:00,16.7,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 23:10,16.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 23:20,16.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 23:30,16.3,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 23:40,16.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 23:50,16,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 00:00,15.5,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 00:10,15.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 00:20,15.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 00:30,15.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 00:40,15.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 00:50,15.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 01:00,15.2,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 01:10,14.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 01:20,14.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 01:30,14.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 01:40,14.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 01:50,15,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 02:00,14.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 02:10,14.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 02:20,14.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 02:30,14.1,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 02:40,14.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 02:50,14.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 03:00,14.3,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 03:10,14,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 03:20,14,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 03:30,14.1,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 03:40,14,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 03:50,13.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 04:00,13.5,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 04:10,13.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 04:20,13.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 04:30,13.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 04:40,13.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 04:50,13.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 05:00,13.1,0,5
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 05:10,13.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 05:20,13.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 05:30,14.5,0,58
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 05:40,14.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-03 05:50,15.1,,
