station id, station name, valid,T [°C],količina padavin [mm],globalno sev. [W/m2]
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 02:00,16.3,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 02:10,16.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 02:20,16.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 02:30,16,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 02:40,15.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 02:50,15.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 03:00,15.4,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 03:10,15.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 03:20,15.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 03:30,16,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 03:40,15.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 03:50,15.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 04:00,14.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 04:10,14.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 04:20,14.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 04:30,14.1,0,5
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 04:40,14.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 04:50,14,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 05:00,14,0,17
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 05:10,14.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 05:20,14.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 05:30,15,0.1,57
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 05:40,15.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-03 05:50,15.7,,
